,jumlah_penduduk,luas_wilayah,kategori_kepadatan,persentase_akses_air_minum_layak,persentase_memiliki_jamban_layak,persentase_akses_sanitasi_layak,tingkat_pengangguran,rata_rata_pendapatan,persentase_penduduk_miskin,garis_kemiskinan(rupiah/kapita/bulan),indeks_pembangunan_literasi,indeks_pembangunan_manusia,rata_rata_pendidikan_akhir,jumlah_tenaga_kesehatan_gizi,jumlah_puskesmas,penerima_bpjs_non_pbi,prevalensi_ketidakcukupan_pangan,jumlah_bencana_kekeringan,prevalensi_underweight,prevalensi_wasting,label
0,28253,10.725,3,91.51,94.93,82.55,8.11,2132501.0,13.13,743820,82.49,75.91,2,8,6,99.29,3.63,0,18.6,10.2,0
1,2235606,144.942,3,99.85,90.77,94.46,5.37,4446097.0,3.1,891580,72.39,86.71,2,270,60,86.96,2.28,0,11.6,11.4,0
2,3079618,185.538,3,100.0,92.81,94.19,7.24,3398513.0,4.2,669713,69.89,84.26,2,290,63,88.2,3.08,0,13.4,9.3,0
3,1049314,47.565,3,99.92,70.24,93.09,6.42,3508236.0,4.68,784679,79.1,83.29,2,282,37,94.38,2.91,0,15.0,8.7,0
4,2470054,125.0,3,99.13,89.96,93.96,6.39,3932710.0,4.09,657247,67.86,83.85,2,216,53,86.99,2.03,0,17.2,11.0,0
5,1808985,147.212,3,98.13,87.22,90.96,7.05,4746281.0,6.78,684557,69.31,81.85,2,157,31,89.16,2.62,0,16.0,9.5,0
6,5627020,2991.78,3,91.9,91.39,71.49,8.47,2111192.0,7.27,482174,38.19,73.02,2,183,109,29.53,5.3,18,19.7,8.5,1
7,2802400,4164.15,3,85.72,85.27,53.21,7.32,1853457.0,7.01,392705,55.6,69.71,0,73,60,12.9,5.98,3,17.9,6.4,1
8,2558140,3631.92,3,85.65,81.49,63.83,7.71,1728848.0,10.22,437327,28.13,68.18,0,55,47,8.75,7.02,1,7.0,3.4,0
9,3721110,1740.84,3,95.73,83.87,66.67,6.52,2013999.0,6.4,426069,53.7,74.03,1,137,63,26.61,5.19,6,15.8,6.2,1
10,2683670,3101.24,3,81.13,81.87,54.68,7.33,1630376.0,9.77,367681,49.21,69.22,0,89,68,8.19,5.76,1,12.7,3.1,1
11,1907050,2705.86,3,89.03,77.0,51.33,3.89,1349553.0,10.28,378958,52.48,69.38,0,70,40,10.63,8.65,1,10.1,4.0,1
12,1251540,1595.94,3,94.39,88.06,71.38,3.52,1580947.0,7.42,442108,62.85,73.12,0,63,36,13.18,6.1,3,16.4,5.2,1
13,1201760,1192.9,3,96.57,87.16,83.03,9.49,1442750.0,12.12,402767,53.96,70.99,0,75,38,19.76,6.43,2,15.7,6.4,1
14,2360440,1071.95,3,98.52,67.15,89.02,7.65,2387051.0,11.2,451853,51.54,71.81,0,141,63,15.91,7.28,6,18.6,9.7,1
15,1340620,1330.17,3,93.38,87.11,82.67,4.12,1479836.0,11.21,520713,58.47,70.76,0,81,32,17.01,7.9,3,15.0,7.0,1
16,1178240,1566.2,3,95.42,90.36,72.55,6.94,1760727.0,9.36,396573,61.26,74.02,0,59,35,22.44,5.55,1,10.0,3.9,0
17,1894330,2076.06,3,97.77,79.66,95.9,6.46,2066665.0,12.13,532545,73.78,70.19,0,68,49,14.71,5.4,1,15.4,9.5,0
18,1649820,2165.55,3,99.22,93.77,89.4,7.65,1999766.0,9.52,404320,47.63,71.42,0,77,40,17.23,6.23,3,13.3,9.5,0
19,1037070,993.09,3,85.4,91.45,77.33,7.72,1990463.0,8.46,434187,55.55,73.43,0,62,20,30.29,5.07,1,14.1,6.5,1
20,2526000,1913.71,3,98.11,87.07,83.02,8.95,2324648.0,7.87,555889,46.12,73.25,2,120,51,29.65,5.93,1,14.7,6.3,0
21,3237420,1251.02,3,96.95,93.33,91.54,8.87,2836509.0,4.93,632811,36.4,76.13,2,144,50,36.32,4.36,3,17.9,7.7,1
22,1859640,1283.44,3,92.27,85.2,56.93,8.11,1832880.0,10.52,426355,53.6,70.33,0,69,33,19.46,7.48,1,13.2,5.1,1
23,431460,1128.18,2,82.95,90.01,86.91,1.52,1354394.0,8.98,447242,44.85,70.57,0,43,15,14.18,6.04,0,13.1,7.7,1
24,1070720,111.37,3,99.61,93.0,74.36,9.39,2144760.0,6.67,661384,52.0,78.36,2,101,24,35.83,4.86,2,13.8,4.9,0
25,360640,48.31,3,98.74,90.37,44.76,8.53,2157734.0,7.5,644276,82.15,77.16,2,38,15,31.23,5.23,1,13.6,5.3,1
26,2506600,166.59,3,97.67,80.85,56.01,8.83,2739763.0,3.96,591124,75.7,83.29,2,247,71,32.28,3.64,0,11.3,5.5,0
27,341980,39.44,3,99.57,78.57,93.27,7.66,1950312.0,9.16,520579,87.75,77.45,2,69,21,30.46,6.85,1,20.2,10.7,0
28,2627210,213.04,3,98.77,97.2,98.52,7.9,3321402.0,4.1,795965,51.79,83.06,2,209,43,51.68,2.27,0,11.5,5.7,0
29,2145400,199.91,3,99.56,98.56,97.43,6.97,3293957.0,2.38,804984,74.44,82.53,2,124,37,50.81,1.99,1,12.8,5.8,0
30,590780,42.43,3,97.36,84.92,76.37,10.52,2391019.0,4.66,590197,57.78,79.69,2,51,12,43.12,2.98,1,14.1,4.0,1
31,741760,183.94,3,95.84,86.9,56.25,6.55,2099187.0,11.53,537497,76.45,75.47,0,75,23,16.3,5.14,0,14.0,4.6,1
32,207510,131.01,3,94.34,92.75,89.06,5.43,1436716.0,6.14,408710,68.56,74.45,0,38,10,20.26,5.55,0,15.7,8.2,1
33,2007830,2323.93,3,88.75,89.21,80.38,8.74,2485171.0,10.99,419429,45.5,72.04,0,91,38,15.1,12.29,7,14.4,7.4,0
34,1828570,1391.15,3,93.57,90.76,83.0,6.35,2252959.0,12.53,479027,52.57,73.96,0,145,39,24.2,10.84,4,12.3,4.1,1
35,1027330,805.76,3,82.82,90.64,77.19,5.61,1810299.0,14.99,439208,54.69,70.51,0,54,22,16.48,10.08,1,15.7,6.0,1
36,1047230,1144.9,3,87.56,87.89,46.09,6.26,1930814.0,14.9,380046,60.84,69.16,0,85,35,10.6,12.14,0,12.0,4.9,0
37,1397560,1334.1,3,87.34,89.22,93.68,5.11,1816060.0,16.34,451678,71.8,71.88,0,88,35,12.52,12.0,0,15.5,4.7,1
38,788270,1081.96,3,91.26,86.89,81.43,4.02,2220234.0,11.33,427622,35.88,74.35,2,62,27,20.26,14.71,2,11.3,6.2,1
39,909660,1011.62,3,94.61,90.29,58.14,4.95,2059530.0,15.58,425105,63.81,70.18,0,48,24,10.51,12.89,0,16.2,5.1,1
40,1330660,1129.98,3,97.5,87.31,85.14,4.42,1884529.0,10.96,411129,61.88,71.56,0,66,28,16.56,11.23,2,12.0,4.7,1
41,1090130,1096.59,3,94.36,89.81,89.31,4.05,2377454.0,9.81,420339,45.58,75.41,2,69,24,24.68,12.73,0,18.0,6.2,1
42,1284390,701.5,3,99.52,91.7,97.16,4.2,2249792.0,12.28,488102,43.57,77.59,2,123,36,29.05,14.46,2,18.6,7.5,1
43,932680,493.53,3,99.71,88.84,95.68,3.4,2442727.0,7.58,476675,70.5,78.65,2,82,12,35.65,10.31,0,15.1,6.8,1
44,1051090,1905.74,3,96.57,93.69,96.12,1.92,2069081.0,10.94,414901,55.63,71.97,0,80,40,15.41,10.8,0,9.8,3.2,0
45,955120,803.05,3,98.48,95.75,97.03,4.35,2308459.0,9.79,465703,66.57,77.31,2,54,21,29.81,10.63,0,10.7,5.3,1
46,997490,994.57,3,98.14,90.06,95.3,3.87,2111776.0,12.87,426482,47.01,75.1,0,74,25,18.4,10.8,7,12.0,7.8,0
47,1492890,2023.85,3,82.18,88.17,90.49,4.02,2534557.0,11.72,464614,40.45,71.49,0,81,31,12.06,13.23,3,15.1,12.7,1
48,901620,1957.29,3,93.54,90.17,90.72,3.1,2535257.0,11.49,425135,64.27,70.63,0,68,26,15.24,11.27,2,17.3,8.3,1
49,660170,1037.54,3,95.34,89.57,95.44,2.6,2589270.0,14.17,477514,58.74,71.89,0,69,17,13.11,10.15,0,17.6,10.1,0
50,1359360,1572.9,3,95.92,94.23,95.8,4.29,2248444.0,9.31,532545,45.22,73.59,0,91,29,22.65,7.78,0,14.8,7.5,0
51,874630,447.44,3,94.62,89.63,92.12,3.25,2495820.0,7.24,520830,64.63,76.71,2,59,18,36.31,8.36,0,9.9,8.7,0
52,1221090,1020.25,3,83.79,87.66,70.49,3.35,2069074.0,6.61,479131,58.78,73.85,1,62,22,16.95,10.02,0,17.1,10.4,0
53,1240510,977.77,3,92.26,92.59,93.6,5.38,2559193.0,12.01,511145,50.8,74.07,2,57,26,19.93,7.77,0,14.1,6.8,0
54,1080650,1019.27,3,95.84,93.19,85.5,4.05,2456279.0,7.17,498952,54.94,75.13,1,87,26,29.74,8.28,1,13.0,6.5,0
55,808450,864.83,3,97.8,91.34,69.89,2.32,2097542.0,9.26,388369,55.7,71.33,0,47,25,11.1,10.26,1,12.5,3.6,1
56,1052830,1008.12,3,96.78,90.3,78.33,5.76,2241473.0,9.39,465936,55.72,73.86,1,93,28,20.97,11.9,1,20.1,16.9,1
57,828880,857.27,3,96.79,93.45,61.7,6.06,1988954.0,8.92,378858,49.9,70.2,0,48,21,12.55,9.38,1,16.2,11.0,1
58,1007380,892.91,3,95.65,87.67,83.47,3.25,2046671.0,9.67,480934,47.58,71.45,0,56,27,13.88,6.73,0,21.8,11.3,1
59,1523620,1137.41,3,97.68,86.47,80.73,6.55,2025318.0,15.03,467204,52.05,68.08,0,75,25,14.27,9.47,0,10.6,6.7,0
60,1654840,983.9,3,98.17,89.05,85.87,8.6,2039714.0,7.3,470728,70.65,71.12,0,76,31,18.71,12.25,1,13.9,4.2,1
61,2043080,1742.81,3,88.78,83.99,82.8,8.98,2124307.0,15.78,513339,62.51,69.71,0,91,38,10.78,9.37,0,14.1,5.4,1
62,122150,18.56,3,100.0,89.42,84.93,5.25,2505077.0,6.11,602794,93.11,81.17,2,43,5,32.64,10.34,0,11.9,4.5,0
63,526870,46.72,3,99.16,78.62,89.97,4.58,2336482.0,8.44,600953,76.41,83.54,2,137,17,30.47,7.92,0,13.4,3.6,0
64,198920,54.98,3,98.71,88.12,98.15,4.57,2952582.0,4.66,565031,94.48,84.99,2,36,6,43.33,5.83,2,10.9,4.7,0
65,1694740,370.0,3,99.88,91.26,95.31,5.99,3505157.0,4.23,642456,68.69,84.43,2,264,33,40.19,6.81,2,11.8,6.2,0
66,317520,46.2,3,98.88,72.44,90.69,5.02,2416966.0,6.81,565998,76.26,76.71,2,36,14,18.42,7.76,0,20.9,13.9,1
67,282780,39.08,3,100.0,72.2,94.12,6.05,2279411.0,7.68,623617,58.89,77.06,2,40,8,31.33,7.16,0,20.3,9.3,1
68,443053,577.22,3,89.61,89.57,97.19,2.4,1149631.0,15.64,416870,84.88,75.82,1,73,21,18.0,13.44,0,12.9,5.3,1
69,1009434,511.71,3,96.29,86.12,97.3,3.78,1542418.0,11.96,488340,68.6,81.74,1,151,27,24.18,9.75,0,14.7,7.9,1
70,751011,1475.15,3,98.3,89.11,95.78,2.09,1193430.0,15.6,382249,73.54,71.46,0,69,30,9.98,14.67,1,14.5,7.2,1
71,1157292,573.75,3,97.59,84.45,95.78,4.47,1629368.0,7.52,491652,68.9,84.86,2,228,27,43.15,6.64,0,11.5,7.4,0
72,375699,32.82,3,99.31,68.44,96.55,6.07,1771068.0,6.49,662267,90.54,88.61,2,103,15,35.48,8.74,0,13.5,6.0,0
73,588000,1433.59,3,80.19,92.39,77.45,1.83,1281699.0,13.65,352606,65.16,70.94,0,68,25,8.46,11.36,0,11.2,7.0,1
74,959500,1418.62,3,94.42,89.64,89.79,4.66,1418151.0,9.53,395069,58.06,73.18,0,70,33,14.86,9.19,0,13.0,7.9,0
75,741200,1249.23,3,84.87,84.5,81.28,4.52,1228909.0,10.63,411527,84.17,71.96,0,90,23,9.65,11.83,0,12.8,3.2,0
76,1107800,1144.53,3,97.9,91.3,87.85,5.65,1514567.0,6.53,423875,58.4,74.65,0,100,31,15.43,7.68,0,12.6,8.2,1
77,1253600,1745.16,3,96.41,89.13,82.5,4.91,1339073.0,8.69,387733,69.95,72.84,0,86,24,12.17,10.91,0,11.0,6.0,1
78,1677200,1523.56,3,92.0,90.84,92.13,5.79,1449994.0,10.72,385874,66.53,74.68,2,113,40,15.13,8.37,0,14.2,7.9,0
79,2715600,3473.44,3,98.18,92.89,84.03,5.7,1776726.0,9.45,399647,48.83,73.0,0,156,42,22.03,8.47,0,13.0,5.1,0
80,1139100,1797.1,3,95.49,85.34,77.48,3.67,1343326.0,8.93,386995,53.87,69.37,0,92,25,8.06,8.77,0,21.5,10.1,1
81,2586800,3313.46,3,97.51,70.3,64.47,4.01,1230888.0,9.51,441171,37.67,70.42,0,173,50,12.36,10.38,1,22.0,8.2,1
82,1743900,3592.9,3,97.44,86.08,82.63,4.75,1531769.0,7.34,448928,65.58,73.79,0,104,45,15.73,9.07,0,14.7,6.5,1
83,788200,1554.99,3,94.43,53.24,57.41,4.15,1111614.0,13.34,494000,64.28,70.56,0,60,27,11.67,12.72,0,12.5,6.5,0
84,697000,1653.72,3,97.45,57.47,59.37,3.27,1292893.0,11.9,396587,62.81,70.65,0,76,23,13.24,13.33,0,2.8,2.9,0
85,1176900,1724.51,3,97.75,72.97,66.12,3.24,1463401.0,17.19,514274,35.92,70.36,0,73,36,9.76,10.43,0,25.7,9.5,1
86,1644500,1493.29,3,97.63,89.77,86.7,5.48,1906645.0,9.24,429624,47.66,71.91,0,91,35,17.2,9.05,0,22.7,8.5,1
87,2148600,724.04,3,97.19,95.45,94.72,8.05,2128281.0,5.0,571696,54.83,81.88,2,154,28,46.93,4.03,0,7.9,5.2,0
88,1145400,984.64,3,98.9,85.99,89.38,4.67,1751031.0,9.8,486520,72.12,76.23,2,75,26,30.85,6.61,0,9.7,6.5,0
89,1351300,1109.84,3,98.01,90.53,94.06,4.66,1371890.0,9.15,488754,49.18,75.16,1,96,33,23.19,8.98,0,10.8,7.1,0
90,1124700,1289.07,3,98.86,87.91,87.83,4.68,1400193.0,10.89,513565,75.83,74.7,0,65,21,12.49,9.03,0,11.8,6.2,0
91,754500,1113.63,3,96.39,87.66,91.99,5.14,1232509.0,11.04,437296,48.87,74.02,0,50,27,15.59,12.46,0,12.4,4.9,0
92,681700,706.44,3,99.61,90.32,92.9,4.16,1362878.0,9.8,431203,55.12,76.3,0,52,22,18.44,9.29,0,13.4,4.4,0
93,880700,1395.8,3,97.51,85.09,85.42,2.41,1447073.0,14.4,413947,65.31,73.28,0,70,24,19.22,12.28,0,14.8,8.3,0
94,1319600,2312.63,3,97.59,91.16,92.63,4.63,1640109.0,12.18,435936,52.66,71.8,0,70,41,9.38,8.09,0,13.4,7.4,0
95,1218600,1973.5,3,95.22,87.4,85.13,4.4,2154102.0,14.91,454336,55.44,71.4,0,63,36,13.85,6.83,0,15.5,7.1,0
96,1369500,1752.71,3,79.26,93.28,95.0,5.46,2084935.0,12.42,481969,63.86,75.29,2,90,36,15.67,5.06,0,10.7,6.7,0
97,1350400,1256.36,3,92.54,95.66,95.0,6.82,2233231.0,10.96,588316,54.51,78.44,2,93,34,31.24,3.67,0,14.8,8.0,0
98,1091800,1301.03,3,96.3,82.48,50.3,6.18,1837297.0,19.35,503207,53.92,66.82,0,37,27,6.43,9.19,0,7.1,6.2,0
99,1004500,1228.25,3,94.29,80.34,82.86,2.72,1787008.0,21.76,454716,79.66,66.19,0,54,22,1.05,9.09,0,8.5,6.7,0
100,875800,795.15,3,97.91,80.08,71.1,1.74,1628574.0,13.85,431127,75.02,70.32,0,64,21,7.51,9.43,0,16.8,7.9,1
101,1146600,2084.02,3,98.1,69.22,70.26,1.71,1758385.0,18.7,471860,47.09,69.13,0,82,29,6.14,3.95,0,10.8,11.0,0
102,295200,67.23,3,99.6,86.28,96.41,4.06,1825905.0,7.15,587723,63.16,80.97,2,67,10,30.53,6.6,0,10.0,6.0,0
103,153400,33.2,3,98.79,88.15,96.22,5.24,1472768.0,7.3,568280,80.75,80.78,2,35,3,25.99,6.11,0,12.4,6.6,0
104,865300,111.08,3,99.06,92.8,86.36,6.8,2071648.0,4.26,674660,94.22,84.0,2,196,16,41.77,5.04,0,13.4,6.0,0
105,247000,54.68,3,100.0,86.21,88.27,4.53,1602592.0,6.48,628380,82.9,76.93,0,31,6,31.86,5.29,0,20.2,7.2,1
106,216400,39.0,3,99.38,89.01,91.73,5.64,1610445.0,6.6,529512,84.38,78.3,2,30,8,26.91,5.96,0,8.0,4.3,0
107,136100,20.22,3,99.95,92.49,96.48,4.73,1797967.0,5.77,581006,80.03,80.9,2,35,6,35.23,5.18,0,8.3,8.0,0
108,200000,36.13,3,99.1,89.66,98.18,5.85,1498195.0,4.74,605131,93.94,83.71,2,67,7,34.96,5.84,0,10.6,5.5,0
109,2911400,335.93,3,98.15,84.21,97.81,6.76,2860798.0,4.65,718370,84.32,83.99,2,414,62,29.86,4.06,0,5.7,4.1,0
110,220200,194.17,3,99.16,93.72,95.06,4.52,1851333.0,3.31,613985,83.0,79.07,2,32,5,36.1,5.09,0,12.8,2.8,1
111,1312766,2771.414,3,78.11,80.2,62.08,9.05,2975006.0,9.27,455297,51.77,70.28,0,57,39,5.41,4.69,0,22.1,9.7,1
112,1433698,3312.18,3,75.64,78.09,68.83,7.57,2964712.0,8.68,419066,50.26,67.68,0,41,44,6.2,4.82,0,24.1,11.2,1
113,3362605,1027.757,3,97.02,93.4,87.75,6.94,4006029.0,6.93,604362,49.93,75.56,2,141,43,33.68,2.59,0,19.4,9.2,1
114,1682133,1469.908,3,94.62,83.38,84.07,9.94,3803174.0,4.85,425751,47.83,72.63,0,47,32,25.53,3.23,2,16.7,18.2,1
115,1950580,178.347,3,97.12,95.3,94.95,6.76,5157504.0,5.89,746468,54.25,80.98,2,159,37,41.12,1.58,0,13.4,7.1,0
116,450507,162.514,3,99.18,92.21,96.23,7.25,4512694.0,3.98,632703,58.16,78.24,2,41,9,44.22,2.19,0,14.0,7.7,1
117,723794,265.787,3,96.72,88.02,92.36,7.45,4034900.0,6.2,511575,46.76,76.43,0,39,16,27.61,2.3,1,19.2,11.1,1
118,1391649,164.86,3,97.91,97.87,99.29,5.81,5715633.0,2.57,782543,54.69,83.57,2,144,29,52.33,1.92,1,8.8,6.3,0
119,97100,1821.75,1,83.1,84.03,72.67,5.85,1239279.0,17.92,538693,55.22,69.98,1,29,14,13.44,10.91,0,28.2,17.8,1
120,133300,1852.82,1,83.99,90.5,67.93,6.84,1512263.0,19.15,568691,66.77,71.14,1,37,11,18.9,7.31,0,16.1,11.8,1
121,239500,4175.37,1,82.44,86.26,74.54,4.73,1433511.0,12.1,494565,50.96,71.14,1,60,26,9.77,13.7,0,20.1,13.1,1
122,230900,4179.12,1,88.04,74.56,65.08,5.0,1624077.0,12.45,471301,62.67,72.93,1,21,19,11.12,12.97,0,24.7,12.1,1
123,438100,5432.63,1,82.46,86.59,70.01,8.03,2192946.0,13.39,530934,45.29,70.73,1,66,27,4.13,8.61,0,28.1,14.7,1
124,223800,4521.7,0,91.02,94.22,92.61,4.42,1878277.0,14.38,584863,56.02,76.45,1,66,17,5.89,8.61,0,11.4,6.1,1
125,204800,2818.17,1,97.09,95.45,90.16,6.07,2323189.0,17.86,616091,62.97,74.62,1,118,10,18.83,6.16,0,21.8,16.9,1
126,422400,2882.83,1,92.63,80.38,89.07,8.17,1573138.0,13.38,564431,71.2,75.98,1,97,31,12.64,8.58,0,26.6,20.2,1
127,448100,3133.93,1,87.6,51.03,60.36,5.92,1975656.0,18.78,579450,52.02,72.95,1,90,26,6.48,9.12,0,23.6,17.3,1
128,453200,1793.27,2,92.62,89.94,84.96,4.14,1558676.0,12.12,486667,56.13,74.56,1,77,23,7.92,7.62,0,31.9,15.9,1
129,624900,2711.15,1,92.47,85.27,77.95,7.07,2077411.0,16.64,454361,61.63,72.5,1,75,31,5.33,14.24,0,20.4,10.4,1
130,157000,1882.28,1,92.69,77.01,64.69,4.08,1630515.0,15.43,474127,72.17,70.47,1,50,13,7.25,9.64,0,21.5,10.4,1
131,104900,5541.28,0,79.64,71.43,46.05,2.65,1667016.0,18.82,514836,67.52,70.82,1,25,13,9.72,9.18,0,5.6,5.0,0
132,305200,2184.4,1,87.5,92.42,78.61,7.21,1650746.0,12.51,555387,58.84,73.02,1,28,14,18.96,12.05,1,26.8,17.0,1
133,174300,3416.32,1,93.28,88.32,82.72,5.74,2578334.0,17.25,594374,52.28,72.15,1,49,15,19.88,3.43,0,25.5,17.6,1
134,97600,3893.05,0,87.87,82.16,78.83,2.88,1710128.0,12.42,515244,70.22,72.44,1,36,12,8.22,9.44,0,21.0,13.3,1
135,169200,1930.75,1,85.16,93.12,87.04,2.45,1933532.0,18.31,551868,47.07,76.06,1,27,12,6.57,7.22,0,17.3,5.0,1
136,164400,953.12,1,90.26,80.07,78.07,4.34,1654184.0,18.4,572452,64.08,76.04,1,52,14,7.37,9.47,0,22.7,12.9,1
137,262000,55.85,3,98.63,91.71,99.91,8.03,2148715.0,7.04,814530,69.96,88.32,2,119,11,30.32,5.47,0,18.9,12.9,1
138,42900,122.04,2,92.67,94.66,93.96,3.92,1697952.0,14.59,715446,74.66,78.7,2,23,6,24.95,9.01,0,24.4,16.9,1
139,194700,217.17,3,99.11,84.38,92.92,7.73,1919587.0,10.53,512319,61.79,80.5,2,35,4,23.46,9.89,0,19.9,12.4,1
140,197400,136.49,3,98.31,95.73,90.36,8.78,2015048.0,10.73,498431,68.25,80.26,2,32,7,21.93,6.09,0,17.4,10.1,1
141,96900,1183.6,1,55.58,84.81,63.4,5.69,2079309.0,16.41,487777,67.26,69.66,1,13,7,11.23,7.3,0,20.0,14.8,1
142,153658,902.395,1,51.33,72.65,23.86,2.31,900622.0,15.1,485533,47.89,65.15,0,34,10,7.87,8.14,0,12.7,7.6,1
143,496975,6547.257,1,78.93,59.45,35.89,7.45,1419463.0,8.86,487436,41.87,72.65,1,44,27,13.6,9.03,0,15.8,7.8,1
144,312540,4201.035,1,75.78,66.82,51.54,3.49,1389511.0,7.01,480834,69.36,74.58,1,9,16,15.96,8.1,0,5.7,0.9,0
145,386895,2307.677,1,78.31,75.99,60.46,7.81,1149758.0,11.5,489760,40.53,72.77,1,37,25,18.53,6.99,0,16.5,7.5,1
146,323102,3895.604,1,90.83,96.53,91.21,1.03,1467408.0,8.54,499881,52.8,76.86,1,48,20,21.43,7.05,0,10.2,4.0,1
147,213850,2291.616,1,96.04,90.45,93.26,1.3,1571703.0,8.04,496950,61.36,77.83,1,24,19,27.61,6.91,0,15.1,2.2,1
148,513826,2772.384,1,91.88,93.04,84.79,5.99,1988546.0,7.99,524240,51.09,74.7,1,29,16,26.61,7.38,0,12.1,6.9,1
149,802563,3737.83,1,93.94,93.83,92.13,6.12,1783647.0,8.21,427293,51.69,73.59,1,41,34,21.91,8.65,0,11.1,6.7,0
150,1035920,4601.477,1,98.48,94.55,92.96,5.35,1576709.0,7.87,467926,51.52,75.17,1,59,43,31.0,11.19,0,12.9,7.3,0
151,324747,2083.604,1,92.31,95.49,94.42,1.23,1724104.0,7.47,463360,48.29,75.18,1,32,17,25.22,7.66,0,11.5,4.0,1
152,420799,2206.876,1,93.13,94.15,88.11,2.63,2425901.0,7.98,606244,53.55,76.88,1,63,19,33.58,5.42,0,10.6,6.1,1
153,2018164,2581.232,3,95.51,90.62,96.78,8.62,2256584.0,3.44,479509,50.57,77.16,1,113,36,27.87,9.7,0,24.3,13.9,1
154,1066711,614.035,3,96.29,92.31,90.65,6.33,1497061.0,9.23,483543,48.86,74.33,1,45,35,21.12,10.75,0,14.5,10.7,0
155,382539,2531.703,1,64.55,56.54,15.63,3.48,973347.0,16.39,379929,43.47,64.98,0,33,41,4.06,13.45,0,13.0,8.1,1
156,204700,2351.514,1,94.94,95.79,96.99,0.84,1349301.0,8.69,451625,48.16,72.49,1,18,11,21.7,5.82,0,8.7,3.1,0
157,55172,1365.607,0,73.47,90.58,83.74,0.45,1110994.0,7.54,384812,58.36,72.3,1,14,8,15.37,5.26,0,13.2,3.0,1
158,141333,185.035,3,74.78,94.77,93.18,1.03,1246935.0,11.66,425875,62.94,72.93,1,22,13,23.62,6.31,0,8.2,1.9,1
159,682918,1949.18,2,97.53,91.32,93.29,4.97,1775878.0,7.44,503955,41.54,73.4,1,23,20,27.73,10.59,0,12.1,5.1,0
160,430533,888.142,3,97.21,86.78,92.54,5.88,1824252.0,11.38,556529,53.95,72.56,0,19,14,19.68,8.44,0,22.4,17.6,0
161,275448,3945.557,1,83.78,83.78,72.22,4.42,1969413.0,8.79,467457,46.62,73.45,1,18,17,19.01,6.09,0,14.5,8.4,1
162,275648,3914.413,1,85.99,76.35,68.32,5.75,1929614.0,7.89,449217,46.79,72.16,1,59,16,15.59,5.26,0,16.3,9.3,0
163,330797,3079.61,1,90.47,90.94,87.49,3.43,1932994.0,8.06,486275,52.29,74.23,1,20,18,24.05,5.33,0,10.3,10.5,0
164,401863,3686.013,1,95.48,92.46,84.75,4.84,1841654.0,9.08,573783,60.13,75.45,1,16,17,24.95,7.69,0,7.9,4.6,0
165,155873,1238.055,1,66.28,74.02,37.9,2.57,722504.0,21.79,501443,48.61,65.44,0,23,10,12.13,9.2,0,15.7,11.2,1
166,95334,464.219,1,71.05,73.0,36.52,0.8,779279.0,22.81,520543,61.17,64.68,0,12,11,9.5,10.95,0,25.7,15.5,1
167,91265,11.471,3,88.85,91.28,35.05,6.79,1717940.0,11.42,568188,64.62,77.07,1,18,5,16.41,7.32,0,11.5,8.5,0
168,183170,60.072,3,100.0,92.61,94.37,4.47,1814875.0,12.21,554065,57.08,75.42,1,27,8,16.71,7.56,0,3.2,5.1,0
169,274838,75.919,3,99.96,96.56,91.22,8.62,1992902.0,7.24,670183,60.52,80.46,2,54,19,36.42,9.09,0,7.2,4.2,0
