,jumlah_penduduk,luas_wilayah,kategori_kepadatan,persentase_akses_air_minum_layak,persentase_memiliki_jamban_layak,persentase_akses_sanitasi_layak,tingkat_pengangguran,rata_rata_pendapatan,persentase_penduduk_miskin,garis_kemiskinan(rupiah/kapita/bulan),indeks_pembangunan_literasi,indeks_pembangunan_manusia,rata_rata_pendidikan_akhir,jumlah_tenaga_kesehatan_gizi,jumlah_puskesmas,penerima_bpjs_non_pbi,prevalensi_ketidakcukupan_pangan,jumlah_bencana_kekeringan,prevalensi_underweight,prevalensi_wasting,label
345,523008,46.72,3,98.68,80.21,87.49,5.83,1246542.0,8.84,600953,76.41,83.08,2,142,17,26.74,9.52,0,15.5,7.1,0
346,195065,54.98,3,98.04,92.3,97.72,5.58,1395393.0,4.73,565031,94.48,84.35,2,41,6,47.27,5.97,0,11.7,5.4,0
347,1659975,370.0,3,99.36,88.16,92.45,7.6,1796349.0,4.25,642456,68.69,84.08,2,277,33,36.64,7.08,0,13.5,6.2,0
348,309742,46.2,3,99.96,81.4,86.82,4.98,1185523.0,7.0,565998,76.26,75.9,2,35,14,22.31,8.41,0,26.5,15.2,1
349,278299,39.08,3,99.41,90.15,93.58,6.68,1393917.0,7.91,623617,58.89,76.15,2,41,8,31.03,9.07,0,24.0,18.7,0
350,451342,557.224,3,88.4,92.25,96.43,2.8,1068418.0,16.39,416870,84.88,75.46,1,73,21,18.21,19.09,0,17.4,7.7,0
351,1013170,511.706,3,96.89,86.97,96.05,3.97,1604550.0,12.27,488340,68.6,80.69,1,151,27,23.39,11.42,0,15.6,8.9,0
352,70883,1475.147,0,97.17,93.24,96.57,2.08,937719.0,15.86,382249,73.54,70.96,0,69,30,10.27,22.85,0,20.2,6.6,1
353,147562,573.749,2,97.52,87.82,97.42,4.78,1839195.0,7.74,491652,68.9,84.31,2,228,27,42.03,8.08,0,12.3,6.4,0
354,78913,32.819,3,98.79,74.2,92.82,7.18,1713758.0,6.62,662267,90.54,87.69,2,103,15,30.32,12.06,0,11.8,7.8,0
355,592916,1433.59,3,83.95,95.21,72.64,2.04,1023479.0,13.8,352606,65.16,69.37,0,74,25,8.88,15.38,0,13.9,5.2,1
356,964253,1418.62,3,91.5,89.67,86.77,5.51,1183398.0,9.32,395069,58.06,71.87,0,74,33,10.89,11.11,0,9.9,5.8,0
357,739669,1249.23,3,81.23,88.69,79.27,5.37,1250116.0,10.96,411527,84.17,71.0,0,88,23,9.23,14.27,0,15.4,5.6,0
358,1105337,1144.53,3,96.39,89.5,83.6,6.65,1617584.0,6.71,423875,58.4,74.06,0,114,31,12.92,9.45,0,12.9,5.1,0
359,1240322,1745.16,3,96.37,90.51,80.11,5.45,1257370.0,8.71,387733,69.95,71.86,0,85,24,12.19,12.76,0,12.8,5.5,0
360,1656020,1523.56,3,92.17,92.02,88.68,6.83,1317081.0,10.65,385874,66.53,73.46,0,148,40,12.67,9.97,0,18.7,7.0,1
361,2685900,3473.44,3,96.02,90.37,81.8,6.57,1579110.0,9.55,399647,48.83,71.38,0,196,42,17.85,13.2,0,13.4,3.2,1
362,1137227,1797.1,3,97.35,84.18,77.99,4.97,1579105.0,9.06,386995,53.87,66.95,0,99,25,7.16,9.25,0,20.1,6.9,1
363,2567718,3313.46,3,95.4,66.38,65.95,4.06,1260690.0,9.39,441171,37.67,67.97,0,209,50,11.47,14.09,0,24.1,12.7,1
364,1731731,3592.9,3,95.97,84.19,78.07,5.26,1626677.0,7.51,448928,65.58,71.94,0,104,45,13.64,11.09,0,17.3,7.0,0
365,781417,1554.99,3,93.31,50.75,51.64,4.32,977552.0,13.47,494000,64.28,67.31,0,67,27,11.34,16.87,0,25.4,7.7,1
366,691260,1653.72,3,99.22,48.06,54.52,3.38,1365973.0,11.78,396587,62.81,68.25,0,87,23,11.23,19.65,0,22.1,8.8,1
367,1159965,1724.51,3,95.92,70.55,62.36,3.25,1532276.0,17.12,514274,35.92,66.96,0,73,36,9.28,13.68,0,17.0,7.4,0
368,1619035,1493.29,3,96.9,88.15,83.4,5.91,1556540.0,8.96,429624,47.66,69.68,0,92,35,13.24,11.57,0,18.0,7.1,1
369,2103401,724.04,3,95.86,93.91,89.54,8.8,3837977.0,5.36,571696,54.83,81.02,2,191,28,44.24,6.34,0,17.8,9.6,0
370,1133584,984.64,3,97.05,91.07,89.87,4.83,1812875.0,9.71,486520,72.12,74.89,2,101,26,29.41,7.65,0,11.7,5.6,0
371,1335972,1109.84,3,99.07,92.16,93.67,5.47,1419701.0,9.04,488754,49.18,74.05,2,145,33,22.06,9.63,0,17.1,8.8,1
372,1117033,1289.07,3,98.67,86.18,83.36,4.74,1380078.0,10.7,513565,75.83,72.93,0,65,21,10.51,11.11,0,17.3,6.9,1
373,757665,1113.63,3,94.79,86.88,89.4,5.84,1302548.0,10.79,437296,48.87,72.39,0,61,27,13.43,14.09,0,15.9,8.6,0
374,678343,706.44,3,98.71,92.86,91.01,4.33,1397095.0,9.84,431203,55.12,74.85,0,54,22,19.49,9.67,0,12.1,5.1,0
375,877432,1395.8,3,99.16,85.26,84.26,2.48,1326310.0,14.15,413947,65.31,71.75,0,89,24,15.21,14.87,0,18.4,9.6,1
376,1315125,2312.63,3,96.51,90.95,91.01,4.69,1500194.0,12.21,435936,52.66,70.12,0,85,41,11.33,10.39,0,18.6,7.4,1
377,1209543,1973.5,3,97.51,81.16,80.99,4.54,1727407.0,15.02,454336,55.44,69.67,0,63,36,12.78,7.59,0,19.2,7.1,1
378,1371509,1752.71,3,78.56,94.98,90.66,6.05,1758810.0,12.53,481969,63.86,74.02,0,95,36,16.16,5.91,0,21.5,9.1,1
379,1332664,1256.36,3,91.5,97.04,90.29,7.84,2408227.0,11.06,588316,54.51,77.16,2,109,34,27.75,6.6,0,11.2,6.4,0
380,1086620,1301.03,3,93.91,77.75,53.48,8.05,1509388.0,19.44,503207,53.92,65.05,0,44,27,7.63,14.61,0,19.7,8.8,1
381,984162,1228.25,3,93.25,77.11,79.33,3.11,1208241.0,21.61,454716,79.66,63.39,0,60,22,1.76,13.44,0,6.9,3.8,0
382,857818,795.15,3,95.24,75.38,65.95,1.4,1438215.0,13.93,431127,75.02,66.99,0,62,21,6.11,12.63,0,6.0,3.4,0
383,1136632,2084.02,3,94.6,68.34,67.68,1.36,1779956.0,18.76,471860,47.09,67.87,0,83,29,5.62,3.72,0,17.5,10.7,1
384,289418,67.23,3,99.77,88.79,95.87,4.38,1760110.0,7.23,587723,63.16,79.59,2,77,10,25.95,6.41,0,14.0,7.9,0
385,151960,33.2,3,99.1,93.96,95.91,5.39,1497648.0,7.37,568280,80.75,79.93,2,38,3,28.42,7.21,0,12.8,5.5,0
386,846126,111.08,3,96.76,93.67,82.61,7.66,1880789.0,4.37,674660,94.22,82.71,2,229,16,40.32,6.7,0,15.7,6.6,0
387,243200,54.68,3,100.0,86.93,89.27,4.57,1799840.0,6.65,628380,82.9,74.56,2,31,6,26.62,6.77,0,19.9,12.4,1
388,211497,39.0,3,100.0,89.55,89.32,6.18,1459948.0,6.37,529512,84.38,76.54,2,33,8,29.82,6.72,0,21.4,12.4,1
389,134350,20.22,3,98.65,96.03,95.59,5.05,1858312.0,5.98,581006,80.03,79.32,2,50,6,32.31,5.79,0,9.5,5.6,0
390,199192,36.13,3,98.54,92.01,95.38,6.39,1658076.0,4.76,605131,93.94,82.01,2,67,7,29.84,6.82,0,11.6,6.6,0
391,2887223,335.93,3,95.66,85.1,96.41,7.62,2720805.0,4.72,718370,84.32,82.74,2,510,62,27.58,4.37,0,7.5,6.1,0
392,216735,194.17,3,99.12,96.81,94.37,8.43,1916382.0,3.79,613985,83.0,77.22,2,35,5,39.06,6.09,0,12.6,3.4,1
393,1298850,2771.414,3,77.27,71.97,62.14,9.24,1532744.0,9.32,455297,51.77,65.84,0,57,39,4.94,4.39,0,24.2,9.8,1
394,1417350,3312.18,3,73.27,75.11,67.4,8.55,1496958.0,8.91,419066,50.26,64.71,0,46,44,0.79,3.45,0,18.9,6.4,1
395,3321650,1027.757,3,98.55,89.81,86.63,7.88,2383856.0,6.92,604362,49.93,72.97,2,171,43,37.66,2.28,0,18.9,9.3,1
396,1661370,1469.908,3,91.91,84.38,82.38,10.61,1774771.0,4.96,425751,47.83,67.75,0,53,32,17.79,2.9,0,19.7,8.4,1
397,1931640,178.347,3,95.58,94.84,94.43,7.16,2875167.0,5.77,746468,54.25,78.9,2,192,37,35.28,1.71,0,11.4,4.8,0
398,445060,162.514,3,99.08,89.97,87.72,8.1,2132249.0,3.64,632703,58.16,73.95,2,41,9,37.79,2.04,0,19.8,12.8,0
399,712410,265.787,3,97.61,86.61,91.55,8.17,2328764.0,5.94,511575,46.76,72.98,0,51,16,23.75,2.42,0,21.2,11.4,1
400,1378710,164.86,3,98.64,97.93,97.56,6.59,4204667.0,2.5,782543,54.69,81.95,2,190,29,48.9,1.5,0,9.1,4.9,0
401,28240,10.18,3,93.97,92.95,83.75,8.58,1938617.4,15.06,701088,82.49,72.1,2,9,6,98.42,2.86,0,20.4,7.7,0
402,2233855,154.32,3,89.23,90.47,96.51,7.33,2575959.43,3.56,842630,72.39,84.9,2,257,60,87.08,1.5,0,11.8,4.8,0
403,3056300,182.7,3,91.17,92.79,96.73,8.23,2530202.31,4.28,630842,69.89,82.97,2,276,63,84.48,2.18,0,13.1,8.7,0
404,1066460,52.38,3,98.5,67.78,89.56,7.75,2593224.37,4.94,733176,79.1,81.56,2,313,37,86.51,1.97,0,13.2,4.8,0
405,2440073,124.44,3,97.85,87.21,97.75,9.06,2711186.59,4.31,599514,67.86,81.76,2,223,53,87.32,1.78,0,13.3,6.6,0
406,1784753,139.99,3,99.63,80.82,90.61,9.84,2849107.24,7.24,645431,69.31,80.51,2,153,31,82.18,2.18,0,16.7,7.0,1
407,5489540,2710.62,3,91.83,83.56,63.91,12.22,1585631.0,8.13,443787,38.19,70.6,1,179,107,27.65,4.06,2,12.5,4.2,1
408,2761480,4145.7,3,81.34,82.0,64.35,9.51,1420899.0,7.7,357636,55.6,67.07,0,111,179,12.52,4.89,0,15.1,3.3,1
409,2506680,3840.16,3,86.25,78.71,58.52,9.32,1132936.0,11.18,406829,28.13,65.56,0,84,113,7.37,4.75,0,14.1,2.9,1
410,3666160,1767.96,3,99.07,82.97,64.51,8.32,1425126.0,7.15,398884,53.7,72.73,1,203,71,20.06,5.07,0,15.5,3.0,1
411,2604790,3074.07,3,77.35,72.19,43.73,8.68,1183039.0,10.65,335134,49.21,66.45,0,67,156,7.11,4.06,0,20.0,4.5,1
412,1883730,2551.19,3,85.26,73.18,49.35,6.16,1033127.0,11.15,347917,52.48,65.9,0,62,167,9.64,5.64,0,11.6,4.1,1
413,1237730,1414.71,3,90.12,87.05,66.59,5.06,1128097.0,7.97,405294,62.85,70.93,1,80,87,16.03,5.11,1,15.6,8.3,0
414,1180390,1110.56,3,94.4,87.42,80.98,11.68,1254447.0,13.1,371665,53.96,69.71,1,89,68,17.69,3.51,0,14.9,7.5,0
415,2290970,984.52,3,96.54,70.41,83.41,10.38,1444697.0,12.3,416914,51.54,69.12,0,130,79,16.62,5.41,0,23.0,10.7,1
416,1318970,1204.24,3,96.8,84.27,80.59,5.71,1389497.0,12.33,483319,58.47,67.81,0,60,69,14.9,4.17,1,14.6,7.8,1
417,1159350,1518.33,3,94.16,88.14,87.87,9.18,1331382.0,10.71,371870,61.26,71.8,1,44,66,20.61,4.01,0,14.4,5.4,1
418,1851380,2040.11,3,97.95,77.95,89.75,8.3,1523192.0,13.04,499805,73.78,67.64,0,70,65,14.42,4.28,0,15.1,12.6,0
419,1608590,1893.95,3,98.75,89.36,85.82,9.77,1542242.0,10.03,372308,47.63,69.13,0,52,45,15.33,4.81,0,12.1,6.5,0
420,1011470,825.74,3,81.5,88.8,72.61,10.7,1677346.0,8.83,403663,55.55,70.98,1,62,41,27.22,4.08,0,15.7,5.6,1
421,2468580,1652.2,3,96.63,83.77,77.19,11.83,1743417.0,8.95,521158,46.12,70.94,1,88,57,24.54,3.79,0,15.9,7.4,1
422,3157960,1224.88,3,95.02,91.05,81.02,10.09,1956427.0,5.21,579221,36.4,74.45,1,169,51,34.02,2.26,0,18.2,8.8,1
423,1814230,1305.77,3,92.47,88.27,63.78,11.65,1452663.0,11.3,393956,53.6,68.29,1,57,54,21.02,5.07,0,12.7,1.9,1
424,427610,1010.0,3,80.78,88.22,81.49,3.25,1066741.0,9.65,411174,44.85,68.28,1,24,32,13.07,4.39,0,15.9,6.6,1
425,1052360,118.5,3,98.14,89.59,75.35,11.79,1955010.0,7.24,608949,52.0,76.59,2,105,32,34.13,2.95,0,11.8,2.0,0
426,350800,48.25,3,98.37,87.01,39.64,10.78,1477713.0,8.25,594118,82.15,74.6,2,48,17,30.23,3.65,0,10.9,7.1,0
427,2452940,167.67,3,99.51,77.42,48.9,11.46,1835918.0,4.37,545675,75.7,81.96,2,222,4,34.88,2.82,0,14.2,3.7,1
428,336860,37.36,3,99.34,76.47,92.71,10.53,1272840.0,10.03,485613,87.75,75.25,2,55,7,28.66,4.52,0,21.9,7.1,1
429,2564940,206.61,3,100.0,95.6,97.54,10.88,2019457.0,4.74,731392,51.79,81.95,2,275,4,41.48,1.33,0,10.8,8.7,0
430,2085940,200.29,3,99.52,95.6,97.06,9.76,2018208.0,2.58,744771,74.44,81.37,2,110,4,49.42,1.26,0,10.9,5.7,0
431,571630,39.27,3,97.93,81.42,78.67,13.07,1804478.0,5.35,549450,57.78,78.06,2,79,2,44.07,2.66,0,11.2,3.8,0
432,723920,171.61,3,94.4,87.86,52.62,7.66,1122481.0,13.13,498711,76.45,73.31,1,78,23,14.0,4.17,0,18.4,6.6,1
433,203420,113.49,3,97.21,93.2,81.92,6.09,1124191.0,7.11,373510,68.56,71.92,1,34,9,23.19,3.93,0,15.6,6.0,1
434,1963824,2124.47,3,93.37,84.6,76.42,9.97,1046090.0,11.67,384955,45.5,70.42,0,75,38,11.73,13.53,3,9.7,3.9,0
435,1789630,1335.3,3,91.49,89.05,79.97,6.05,1059036.0,13.66,441520,52.57,72.44,0,125,39,21.1,11.36,0,15.8,6.2,1
436,1007794,677.55,3,85.18,90.39,76.33,6.05,1020756.0,16.24,407849,54.69,69.15,0,59,22,13.67,11.54,0,10.4,3.3,0
437,1026866,1023.73,3,82.61,78.49,40.75,5.86,1027275.0,16.23,351333,60.84,67.86,0,75,35,9.29,12.87,0,8.4,2.3,1
438,1361913,1211.74,3,86.36,89.73,88.99,6.03,946706.0,17.83,416004,71.8,70.05,0,81,35,12.14,12.55,0,13.5,7.5,0
439,773588,1091.49,3,85.99,87.65,79.81,3.59,936413.0,12.4,393731,35.88,72.98,2,58,27,20.86,16.51,0,14.3,8.7,0
440,886613,981.41,3,95.64,89.62,53.27,5.26,1004002.0,17.67,399180,63.81,68.43,0,49,24,11.47,15.73,0,13.0,4.1,1
441,1305512,1102.93,3,94.14,86.62,78.4,5.03,974178.0,11.91,377497,61.88,70.12,0,41,28,13.73,13.75,0,14.8,4.8,1
442,1070247,1008.45,3,93.42,87.34,87.72,5.09,1307210.0,10.62,383030,45.58,74.4,0,57,24,20.4,12.59,0,13.6,5.4,1
443,1267272,658.22,3,97.84,90.97,95.37,5.48,1356181.0,13.49,458872,43.57,76.12,2,108,36,24.64,14.16,0,12.5,7.4,0
444,911603,489.12,3,98.01,91.1,94.27,3.32,1566507.0,8.23,434318,70.5,77.13,2,73,12,28.15,11.54,0,11.8,5.9,1
445,1049292,1793.67,3,98.82,96.33,92.97,2.43,1034585.0,11.55,376763,55.63,70.49,0,76,40,14.98,15.8,0,10.9,4.2,0
446,938808,775.44,3,98.65,95.61,95.38,5.89,1349950.0,10.68,424677,66.57,75.99,2,38,21,23.51,9.93,0,9.7,3.9,0
447,983641,941.54,3,98.33,91.17,89.89,4.76,1338235.0,13.83,389265,47.01,74.08,0,84,25,18.08,10.98,0,13.4,4.1,0
448,1460873,2013.86,3,76.14,87.14,89.37,4.38,1586556.0,12.74,428597,40.45,70.41,0,64,31,11.51,16.85,0,6.3,8.2,0
449,886147,1804.59,3,94.84,91.07,90.51,3.81,1087942.0,12.39,390478,64.27,69.37,0,76,26,15.27,15.35,0,16.1,6.5,1
450,647766,887.13,3,95.36,90.1,89.94,3.67,1300162.0,15.8,441482,58.74,70.43,0,38,17,11.25,13.98,1,20.8,13.0,0
451,1330983,1489.19,3,99.72,93.68,91.67,4.6,1537447.0,10.21,486855,45.22,72.28,0,70,29,20.16,12.96,0,19.2,7.0,1
452,852443,425.15,3,98.9,94.3,93.8,3.77,1551767.0,7.6,482806,64.63,75.16,2,66,18,40.15,10.06,0,16.7,9.5,0
453,1188510,1059.25,3,81.48,87.01,66.59,4.23,1356300.0,7.44,442618,58.78,72.36,0,67,22,15.92,13.64,0,16.0,8.7,1
454,1212377,900.12,3,96.71,90.41,91.38,5.28,1681186.0,12.92,471818,50.8,72.57,0,51,26,15.9,8.02,0,22.7,12.7,1
455,1059844,950.21,3,98.25,90.64,91.01,5.02,1314779.0,7.82,459151,54.94,74.24,0,66,26,29.47,9.68,0,10.0,5.9,0
456,794403,837.71,3,91.87,90.02,68.05,2.62,1095794.0,10.17,354012,55.7,69.88,0,41,25,10.68,16.16,0,12.1,3.5,1
457,1025020,1118.13,3,92.65,92.12,83.81,7.55,1297523.0,10.24,433864,55.72,72.5,0,61,28,21.01,11.72,0,16.7,5.9,1
458,807005,788.65,3,98.38,90.63,66.96,6.59,1416484.0,9.68,341252,49.9,68.92,0,43,21,10.91,9.93,0,14.9,5.6,1
459,976504,837.0,3,96.2,79.42,78.57,4.28,1295444.0,10.57,441765,47.58,70.11,0,68,27,11.9,7.81,0,18.6,10.8,0
460,1484209,1118.03,3,95.14,86.45,77.89,6.71,1415145.0,16.56,429549,52.05,66.56,0,59,25,13.53,10.26,0,15.5,6.1,1
461,1608611,876.1,3,98.87,88.14,84.23,9.97,1256737.0,8.6,434638,70.65,68.79,0,68,31,16.7,9.33,0,18.4,13.8,1
462,1992685,1902.37,3,92.6,87.07,80.1,9.78,1234677.0,17.43,472326,62.51,66.32,0,91,38,11.27,11.3,0,19.0,8.9,1
463,121610,16.06,3,100.0,89.03,84.04,8.73,1308809.0,7.75,575130,93.11,79.43,2,43,5,39.82,10.58,0,12.0,6.8,0
464,522728,46.01,3,99.82,77.32,88.73,7.85,1246542.0,9.4,538441,76.41,82.62,2,114,17,33.48,7.83,0,14.5,6.7,1
465,193525,57.36,3,98.78,87.07,98.07,7.26,1395393.0,5.14,518815,94.48,83.6,2,43,6,42.81,6.54,0,10.0,6.2,0
466,1656564,373.78,3,98.42,88.21,93.67,9.54,1796349.0,4.56,589598,68.69,83.55,2,221,33,43.26,5.69,0,16.2,5.9,1
467,308310,45.25,3,99.28,80.88,94.62,6.89,1185523.0,7.59,513243,76.26,75.4,2,33,14,24.73,7.35,0,16.2,7.6,1
468,275781,39.68,3,100.0,80.68,92.77,8.25,1393917.0,8.12,565826,58.89,75.52,2,41,8,27.73,5.82,0,22.7,9.2,1
469,443283,586.28,3,89.33,91.07,95.95,3.69,854195.0,18.38,381666,84.88,74.71,1,65,21,17.37,13.29,0,13.6,5.1,0
470,998647,506.85,3,96.11,86.79,96.2,4.04,1216144.0,14.04,445511,68.6,80.28,1,118,27,22.26,9.38,0,13.5,6.5,0
471,758168,1485.36,3,94.7,92.01,96.0,2.2,1153709.0,17.69,350739,73.54,70.16,0,57,30,8.91,14.52,0,13.0,6.0,1
472,1136474,574.82,3,96.26,80.09,98.41,5.17,1463222.0,8.64,450763,68.9,84.0,2,206,27,42.82,6.68,0,11.2,5.7,0
473,376324,32.5,3,100.0,69.58,98.17,9.13,1065681.0,7.69,601905,90.54,87.18,2,101,15,29.94,8.3,0,13.6,5.9,0
474,589108,1389.92,3,76.71,95.98,71.7,2.04,925266.0,15.11,327758,65.16,68.57,1,67,25,9.24,11.25,0,17.2,6.2,1
475,955839,1305.7,3,96.3,88.82,87.49,4.38,1010138.0,10.26,362461,58.06,71.06,1,68,33,13.65,9.95,0,13.0,7.5,1
476,734888,1147.22,3,75.78,86.29,75.48,3.53,912331.0,12.14,381448,84.17,70.06,1,84,23,8.39,12.69,0,10.4,3.0,0
477,1096588,1055.65,3,97.4,88.73,85.37,4.91,1082818.0,7.51,391888,58.4,73.15,1,98,31,15.74,8.4,0,11.8,4.3,0
478,1231013,1336.48,3,93.33,89.68,75.67,3.66,1131721.0,9.65,355511,69.95,71.05,1,87,24,11.33,11.39,0,11.6,4.3,0
479,1644400,1386.05,3,96.35,91.06,86.92,5.15,1140645.0,11.64,353033,66.53,72.56,1,136,40,15.26,9.03,0,11.4,4.9,0
480,2668296,3530.65,3,94.14,91.04,80.79,5.4,1286119.0,10.5,367579,48.83,70.6,1,142,42,18.08,10.59,0,14.5,3.5,1
481,1127094,1790.9,3,95.73,86.52,83.24,3.51,1209966.0,10.05,352776,53.87,66.07,1,84,25,7.94,11.29,0,19.7,5.4,1
482,2550360,3092.34,3,94.35,65.81,64.17,5.44,1125088.0,10.41,400961,37.67,67.32,0,124,50,12.09,9.72,0,19.8,12.8,1
483,1718462,5782.4,2,94.16,83.61,81.15,5.42,1187541.0,8.07,414879,65.58,71.38,1,106,45,12.97,10.32,0,14.4,7.4,0
484,778525,1525.97,3,93.44,49.96,52.82,4.46,913479.0,14.73,449760,64.28,66.59,0,65,27,10.22,13.64,0,23.0,6.2,1
485,688337,1669.87,3,98.88,50.45,59.79,3.68,1039224.0,12.63,356133,62.81,67.78,0,64,23,10.35,15.49,3,19.1,8.4,1
486,1155894,1696.21,3,93.18,68.22,62.14,4.55,1207308.0,18.91,475713,35.92,66.26,0,68,36,8.59,9.74,0,19.1,8.9,1
487,1611805,1474.02,3,97.36,87.14,82.92,6.03,1376508.0,9.7,394016,47.66,68.93,1,87,35,12.28,8.56,0,18.88,7.3,1
488,2091930,634.38,3,96.82,94.36,95.05,10.87,2192459.0,5.93,523213,54.83,80.65,2,129,28,44.84,4.09,0,7.2,5.4,0
489,1125522,717.83,3,98.37,88.63,87.34,5.54,1440100.0,10.62,445608,72.12,74.15,1,59,26,28.25,5.93,0,14.0,6.6,1
490,1325914,1115.09,3,99.44,89.1,90.95,7.09,1100211.0,10.0,448830,49.18,73.45,1,100,33,22.48,8.95,0,17.5,5.4,1
491,1109683,1224.25,3,99.03,86.97,81.84,4.98,1270100.0,11.85,474429,75.83,71.97,1,62,21,10.38,9.74,0,17.3,7.4,1
492,750143,1037.58,3,95.1,87.87,89.09,4.99,1220277.0,11.91,405127,48.87,71.88,1,53,27,16.01,10.71,0,15.1,5.1,0
493,674133,688.84,3,99.9,92.94,88.4,3.86,1396726.0,10.66,396696,55.12,74.15,1,62,22,16.23,9.05,0,16.9,7.3,0
494,873346,1295.98,3,99.92,82.68,79.35,4.25,1127276.0,15.57,382301,65.31,71.04,1,64,24,16.55,12.75,0,13.5,7.1,0
495,1307602,2198.79,3,97.24,87.13,90.96,4.82,1289770.0,13.27,403403,52.66,69.59,1,82,41,10.23,8.74,0,19.2,9.5,1
496,1203127,1834.15,3,96.4,83.59,83.8,4.68,1424402.0,16.31,421287,55.44,68.91,1,58,36,13.14,10.26,2,16.9,7.3,1
497,1356027,1782.05,3,81.98,96.21,89.7,4.9,1524157.0,13.86,446601,63.86,73.12,1,95,36,14.91,6.02,0,17.7,7.3,1
498,1320570,1191.25,3,88.99,95.06,91.56,8.0,1934503.0,12.42,536544,54.51,76.5,1,69,34,28.69,4.43,0,13.6,8.3,1
499,1071712,1001.44,3,97.39,83.1,39.44,8.07,1662628.0,21.57,458754,53.92,64.36,0,38,27,4.04,7.39,0,26.0,8.7,1
500,976020,1233.08,3,89.34,73.82,76.22,3.45,1336468.0,23.76,411661,79.66,62.8,0,58,22,1.19,7.8,0,12.3,7.3,0
501,853507,792.24,3,89.15,75.17,70.85,3.1,1247398.0,15.3,392345,75.02,66.4,0,46,21,4.96,9.83,0,22.8,14.9,1
502,1129822,1998.54,3,98.29,73.41,65.66,2.31,1607146.0,20.51,427882,47.09,67.04,0,81,29,4.24,8.06,0,20.9,9.9,1
503,287962,63.4,3,98.95,88.87,95.75,6.37,1067263.0,7.75,537326,63.16,78.6,2,63,10,31.67,7.19,0,13.0,7.5,0
504,150371,32.57,3,97.08,92.06,96.77,6.61,1114343.0,7.89,517363,80.75,78.98,2,30,3,29.55,5.44,0,9.6,4.4,0
505,844933,145.28,3,99.93,86.59,87.08,9.65,1333431.0,4.62,609612,94.22,82.04,2,197,16,40.1,5.31,0,17.7,4.6,1
506,241202,56.67,3,99.66,88.39,89.77,6.55,1554452.0,7.44,575195,82.9,73.66,1,32,6,30.74,5.9,0,14.6,7.2,0
507,209528,35.29,3,99.65,92.27,92.1,6.23,1397000.0,6.88,486893,84.38,75.62,2,27,8,27.65,5.55,0,19.0,9.7,1
508,133272,20.21,3,99.63,92.68,95.49,6.87,1206802.0,6.39,531804,80.03,78.43,2,35,6,32.81,5.61,0,10.7,6.6,0
509,196917,33.92,3,99.53,92.15,97.31,8.15,1272732.0,5.09,551620,93.94,81.25,2,66,7,36.7,5.89,0,11.6,8.4,0
510,2880284,350.54,3,98.06,81.6,95.2,9.68,1895763.0,5.23,652540,84.32,82.31,2,436,62,36.97,3.82,0,16.6,6.8,1
511,214653,136.74,3,100.0,95.72,95.57,6.57,1475266.0,4.09,564010,83.0,76.28,1,31,5,35.72,5.33,0,11.6,6.5,0
512,1284640,2746.89,3,82.01,70.27,49.11,7.7,1393582.0,10.72,416248,51.77,65.17,0,43,39,5.6,3.6,0,18.0,5.8,1
513,1400630,3426.56,3,73.32,73.49,56.82,7.86,1288038.0,10.29,380681,50.26,64.03,0,45,44,5.8,3.14,0,19.1,6.2,1
514,3279710,1011.86,3,97.97,89.63,85.89,9.06,2158650.0,7.12,576122,49.93,72.29,1,125,43,33.58,1.84,0,17.9,8.4,1
515,1640110,1734.28,3,92.33,84.38,80.34,10.58,1751710.0,5.49,385864,47.83,66.82,1,54,32,13.96,2.44,0,18.0,5.8,1
516,1912030,153.93,3,98.0,95.99,94.94,9.07,2705433.0,5.93,695225,54.25,78.5,2,143,37,34.81,1.42,0,11.9,5.9,0
517,439480,175.5,3,98.72,91.7,97.07,10.13,1713577.0,4.24,572780,58.16,73.35,2,37,9,43.4,2.02,0,15.5,7.2,1
518,700950,266.71,3,98.38,91.05,90.76,9.41,2009273.0,6.79,460613,46.76,72.44,1,43,16,28.14,1.29,0,18.0,8.1,1
519,1365390,147.19,3,99.22,98.02,98.84,8.6,2422551.0,2.57,712717,54.69,81.6,2,109,29,43.05,1.51,0,12.8,6.3,0
